nifi1_component,nifi2_equivalent,status,property_changes,recommended_config,examples,source_doc
org.apache.nifi.processors.standard.PutJMS,org.apache.nifi.jms.processors.PublishJMS,deprecated,"PutJMS incluía librerías ActiveMQ y usaba propiedades URL y Destination Name. PublishJMS no trae librerías incluidas, requiere un Connection Factory Service (JMSConnectionFactoryProvider) y las librerías cliente de JMS locales.","Configurar un JMSConnectionFactoryProvider con: cf=org.apache.activemq.artemis.jms.client.ActiveMQConnectionFactory, broker=tcp://${AMQ_HOST}:61616, cflib apuntando al directorio de librerías (ej. /opt/activemq-artemis-2.28.0/lib). Luego en PublishJMS referenciar este Connection Factory Service y definir Destination Name y Destination Type.","Ejemplos en PutJMS-Deprecated.json y PutJMS-Migrated.json","https://cwiki.apache.org/confluence/display/NIFI/Migrating+Deprecated+Components+and+Features+for+2.0.0"
org.apache.nifi.processors.standard.CompressContent,org.apache.nifi.processors.standard.ModifyCompression,deprecated,"CompressContent fue marcado como deprecated en NiFi 2.6.0.","Usar ModifyCompression en su lugar con los mismos algoritmos.","N/A","https://cwiki.apache.org/confluence/display/NIFI/Release+Notes#ReleaseNotes-2.6.0"
org.apache.nifi.processors.azure.eventhub.GetAzureEventHub,org.apache.nifi.processors.azure.eventhub.ConsumeAzureEventHub,deprecated,"GetAzureEventHub quedó obsoleto en NiFi 2.6.0.","Migrar a ConsumeAzureEventHub, que soporta IAM y autenticación moderna.","N/A","https://cwiki.apache.org/confluence/display/NIFI/Release+Notes#ReleaseNotes-2.6.0"
org.apache.nifi.processors.avro.ConvertAvroToParquet,-,deprecated,"ConvertAvroToParquet fue deprecado en NiFi 2.6.0.","Usar Record Readers/Writers para la conversión.","N/A","https://cwiki.apache.org/confluence/display/NIFI/Release+Notes#ReleaseNotes-2.6.0"
org.apache.nifi.processors.netflow.ParseNetflowv5,-,removed,"ParseNetflowv5 está marcado para eliminación en NiFi 2.6.0.","No hay reemplazo oficial documentado.","N/A","https://cwiki.apache.org/confluence/display/NIFI/Release+Notes#ReleaseNotes-2.6.0"
org.apache.nifi.processors.geo.GeohashRecord,-,removed,"GeohashRecord fue marcado para eliminación en NiFi 2.6.0.","No hay reemplazo oficial.","N/A","https://cwiki.apache.org/confluence/display/NIFI/Release+Notes#ReleaseNotes-2.6.0"
org.apache.nifi.processors.hadoop.CreateHadoopSequenceFile,-,removed,"CreateHadoopSequenceFile fue marcado para eliminación en NiFi 2.6.0.","No hay reemplazo oficial.","N/A","https://cwiki.apache.org/confluence/display/NIFI/Release+Notes#ReleaseNotes-2.6.0"
org.apache.nifi.processors.twitter.GetTwitter,org.apache.nifi.processors.twitter.ConsumeTwitter,deprecated,"GetTwitter fue reemplazado por ConsumeTwitter en NiFi 1.17.","Configurar ConsumeTwitter con OAuth 2.0 Bearer Token y reglas de API v2.","Ejemplos en GetTwitter-Deprecated.json y GetTwitter-Migrated.json","https://cwiki.apache.org/confluence/display/NIFI/Migrating+Deprecated+Components+and+Features+for+2.0.0"
org.apache.nifi.processors.standard.Base64EncodeContent,org.apache.nifi.processors.standard.EncodeContent,deprecated,"Base64EncodeContent era limitado; EncodeContent soporta múltiples formatos.","Migrar a EncodeContent con Encoding=base64.","Ejemplos en Base64EncodeContent-Migrated.json","https://cwiki.apache.org/confluence/display/NIFI/Release+Notes#ReleaseNotes-1.20.0"
org.apache.nifi.processors.standard.ConvertAvroToJSON,-,removed,"ConvertAvroToJSON fue eliminado en NiFi 2.0.0-M3.","Usar ConvertRecord con AvroReader y JsonRecordSetWriter.","N/A","https://cwiki.apache.org/confluence/display/NIFI/Release+Notes#ReleaseNotes-2.0.0-M3"
org.apache.nifi.parameter.FileParameterProvider,org.apache.nifi.parameter.KubernetesSecretParameterProvider,renamed,,"Update references in flow.json.gz to new type",,Cloudera Preparing for NiFi 2 Upgrade (2025)
org.apache.nifi.processors.kafka.pubsub.ConsumeKafka_1_0,org.apache.nifi.processors.kafka.pubsub.ConsumeKafka_2_6,removed→replaced,"Kerberos config must migrate to KerberosUserService","Switch to ConsumeKafka_2_6 before upgrade",,Cloudera Preparing for NiFi 2 Upgrade (2025)
org.apache.nifi.processors.kafka.pubsub.ConsumeKafka_2_0,org.apache.nifi.processors.kafka.pubsub.ConsumeKafka_2_6,removed→replaced,"Kerberos config must migrate to KerberosUserService","Switch to ConsumeKafka_2_6 before upgrade",,Cloudera Preparing for NiFi 2 Upgrade (2025)
org.apache.nifi.processors.kafka.pubsub.PublishKafka_1_0,org.apache.nifi.processors.kafka.pubsub.PublishKafka_2_6,removed→replaced,"Kerberos config must migrate to KerberosUserService","Switch to PublishKafka_2_6 before upgrade",,Cloudera Preparing for NiFi 2 Upgrade (2025)
org.apache.nifi.processors.kafka.pubsub.PublishKafka_2_0,org.apache.nifi.processors.kafka.pubsub.PublishKafka_2_6,removed→replaced,"Kerberos config must migrate to KerberosUserService","Switch to PublishKafka_2_6 before upgrade",,Cloudera Preparing for NiFi 2 Upgrade (2025)
org.apache.nifi.hive.PutHiveStreaming,org.apache.nifi.hive.PutClouderaHiveStreaming,removed→replaced,,"Migrate flows to new PutClouderaHiveStreaming component",,Cloudera Preparing for NiFi 2 Upgrade (2025)
org.apache.nifi.hive.PutHive3Streaming,org.apache.nifi.hive.PutClouderaHiveStreaming,removed→replaced,,"Migrate flows to new PutClouderaHiveStreaming component",,Cloudera Preparing for NiFi 2 Upgrade (2025)
org.apache.nifi.hive.HiveConnectionPool,org.apache.nifi.hive.ClouderaHiveConnectionPool,removed→replaced,,"Use ClouderaHiveConnectionPool instead of HiveConnectionPool",,Cloudera Preparing for NiFi 2 Upgrade (2025)
org.apache.nifi.schemaregistry.HortonworksSchemaRegistry,org.apache.nifi.schemaregistry.ClouderaSchemaRegistry,removed→replaced,,"Switch to ClouderaSchemaRegistry",,Cloudera Preparing for NiFi 2 Upgrade (2025)
org.apache.nifi.hbase.HBase_1_1_2_ClientService,org.apache.nifi.hbase.HBase_2_ClientService,removed→replaced,,"Update to HBase_2_ClientService",,Cloudera Preparing for NiFi 2 Upgrade (2025)
ExecuteScript (ECMAScript),Groovy,removed,"ECMAScript engine removed","Migrate custom scripts to Groovy",,Cloudera Preparing for NiFi 2 Upgrade (2025)
ExecuteScript (Lua),Groovy,removed,"Lua engine removed","Migrate custom scripts to Groovy",,Cloudera Preparing for NiFi 2 Upgrade (2025)
ExecuteScript (Ruby),Groovy,removed,"Ruby engine removed","Migrate custom scripts to Groovy",,Cloudera Preparing for NiFi 2 Upgrade (2025)
ExecuteScript (Python),Groovy,removed,"Python engine removed","Migrate custom scripts to Groovy (or limited new Python API)",,Cloudera Preparing for NiFi 2 Upgrade (2025)
Variables,Parameter Contexts,removed,,"Replace variables with Parameter Contexts",,Cloudera Preparing for NiFi 2 Upgrade (2025)
Templates XML,NiFi Registry,removed,,"Use NiFi Registry instead of XML templates",,Cloudera Preparing for NiFi 2 Upgrade (2025)
EventDriven scheduling,TimerDriven scheduling,removed,,"Reconfigure components to Timer Driven",,Cloudera Preparing for NiFi 2 Upgrade (2025)
flow.xml.gz,flow.json.gz,removed,,"NiFi 2 only supports flow.json.gz",,Cloudera Preparing for NiFi 2 Upgrade (2025)
Kerberos Password auth,KerberosUserService,removed→replaced,,"Use KerberosUserService instead of inline password",,Cloudera Preparing for NiFi 2 Upgrade (2025)
Kerberos Keytab auth,KerberosKeytabUserService,removed→replaced,,"Use KerberosKeytabUserService instead of inline keytab",,Cloudera Preparing for NiFi 2 Upgrade (2025)
org.apache.nifi.processors.standard.ListenTCPRecord,ListenTCP + ConvertRecord,removed→replaced,Deprecated (NIFI-13509),"Reemplazar ListenTCPRecord por combinación de ListenTCP y ConvertRecord","TCP Listener process group migrado con parámetros","Cloudera CFM Migration Tool (2025)"
org.apache.nifi.processors.elasticsearch.PutElasticsearchJson,org.apache.nifi.processors.elasticsearch.PutElasticsearchJson,changed,"Added: [Max JSON Field String Length] (NIFI-12343); Renamed: [put-es-json-not_found-is-error] → [put-es-not_found-is-error]; Removed: [put-es-json-error-documents]; Renamed relationship [success] → [original]; Added relationship [successful]","Actualizar propiedades y revisar conexiones de relaciones en el lienzo","Elastic process group migration logs","Cloudera CFM Migration Tool (2025)"
NiFi Variables,NiFi Parameters,removed→replaced,"Variables ${var} no soportadas, deben migrarse a parámetros con sintaxis #{param}","Crear Parameter Contexts y asignar a process groups","Ejemplo con variable 'Elasticsearch Index' convertida a parámetro","Cloudera CFM Migration Tool (2025)"
NiFi Templates (XML),Process Groups JSON,removed→replaced,"XML templates no soportados en NiFi 2","Usar migrate-templates para exportar como process groups JSON","elastic_template.xml → elastic_template.json","Cloudera CFM Migration Tool (2025)"
org.apache.nifi.processors.elasticsearch.PutElasticsearchJson,org.apache.nifi.processors.elasticsearch.PutElasticsearchJson,changed,"Added: property [Max JSON Field String Length] (NIFI-12343)","Configurar límite apropiado según tamaño esperado de campos JSON","Flujos con documentos grandes de Elasticsearch","Cloudera CFM Migration Tool (2025)"
org.apache.nifi.processors.elasticsearch.PutElasticsearchJson,org.apache.nifi.processors.elasticsearch.PutElasticsearchJson,changed,"Renamed: property [put-es-json-not_found-is-error] → [put-es-not_found-is-error]","Actualizar configuración para mantener mismo comportamiento","Migración automática de process group con Elasticsearch","Cloudera CFM Migration Tool (2025)"
org.apache.nifi.processors.elasticsearch.PutElasticsearchJson,org.apache.nifi.processors.elasticsearch.PutElasticsearchJson,changed,"Removed: property [put-es-json-error-documents]","Revisar manejo de errores y rutas alternativas","Revisar relaciones 'failure' y 'retry' en flujo migrado","Cloudera CFM Migration Tool (2025)"
org.apache.nifi.processors.elasticsearch.PutElasticsearchJson,org.apache.nifi.processors.elasticsearch.PutElasticsearchJson,changed,"Renamed relationship [success] → [original]","Actualizar conexiones de relaciones en el lienzo","Conectar 'original' en lugar de 'success'","Cloudera CFM Migration Tool (2025)"
org.apache.nifi.processors.elasticsearch.PutElasticsearchJson,org.apache.nifi.processors.elasticsearch.PutElasticsearchJson,changed,"Added relationship [successful]","Aprovechar nueva relación para flujos más granulares","Conectar 'successful' a rutas downstream","Cloudera CFM Migration Tool (2025)"
Variables,Parameters,removed,"Variables de flujo eliminadas en NiFi 2.x","Migrar todas las referencias ${var} a #{param} mediante Parameter Contexts","Uso de Parameter Contexts en cada Process Group","Cloudera CFM Migration Tool (2025)"
Variables,Parameters,removed,"Ámbito global de Variables eliminado","Definir Parameter Contexts por flujo/proyecto en lugar de globales","Reorganizar configuración de parámetros a nivel de grupo","Cloudera CFM Migration Tool (2025)"
Variables,Parameters,removed,"Migración automática: Variables exportadas como Parameters","Revisar equivalencias generadas por la herramienta de migración","Validar parámetros críticos tras migración","Cloudera Preparing for NiFi 2 Upgrade (2025)"
Templates (XML),Process Groups (JSON),removed,"Templates en formato XML eliminados","Usar Process Group Import/Export en JSON","Reexportar flujos existentes como JSON","Cloudera CFM Migration Tool (2025)"
Templates (XML),Process Groups (JSON),removed,"Propiedades contextuales de templates ya no soportadas","Adaptar configuraciones específicas a Parameter Contexts","Convertir templates antiguos a Process Groups modernos","Cloudera CFM Migration Tool (2025)"
Templates (XML),Process Groups (JSON),removed,"Migración automática: Templates XML convertidos a JSON","Revisar consistencia de process groups tras migración","Ejecutar tool cfm-migration para validar conversiones","Cloudera CFM Migration Tool (2025)"
GetHDFS,GetHDFS,changed,"Propiedades Kerberos Principal/Password/Keytab eliminadas","Configurar un KerberosUserService y referenciarlo desde el procesador","Ejemplo de GetHDFS enlazado a KerberosUserService","Cloudera Preparing for NiFi 2 Upgrade (2025)"
PutHDFS,PutHDFS,changed,"Propiedades Kerberos Principal/Password/Keytab eliminadas","Configurar un KerberosUserService y referenciarlo desde el procesador","Ejemplo de PutHDFS con Kerberos centralizado","Cloudera Preparing for NiFi 2 Upgrade (2025)"
ListenSyslog,ListenSyslog,changed,"Propiedades Kerberos embebidas eliminadas","Usar KerberosUserService compartido","Ejemplo en Release Notes 2.0 con ListenSyslog","Cloudera Preparing for NiFi 2 Upgrade (2025)"
FetchHDFS,FetchHDFS,changed,"Propiedades Kerberos embebidas eliminadas","Referenciar KerberosUserService en lugar de propiedades locales","Migración automática conserva principal en el servicio","Cloudera Preparing for NiFi 2 Upgrade (2025)"
General Processors,KerberosUserService,changed,"Soporte de Password/Keytab en cada procesador eliminado","Centralizar credenciales en KerberosUserService","Reutilizar un único servicio para varios procesadores","Cloudera Preparing for NiFi 2 Upgrade (2025)"
ExecuteScript (ECMAScript),ExecuteScript (Groovy),removed,"Soporte de ECMAScript (Nashorn) eliminado","Reescribir scripts en Groovy","Migración de scripts JS a Groovy","Cloudera Preparing for NiFi 2 Upgrade (2025)"
ExecuteScript (Jython),ExecuteScript (Groovy),removed,"Soporte de Jython (Python) eliminado","Reescribir scripts en Groovy","Migración de scripts Python a Groovy","Cloudera Preparing for NiFi 2 Upgrade (2025)"
ExecuteScript (Ruby),ExecuteScript (Groovy),removed,"Ruby engine removed","Migrate custom scripts to Groovy",,Cloudera Preparing for NiFi 2 Upgrade (2025)
ExecuteScript (Lua),Groovy,removed,"Lua engine removed","Migrate custom scripts to Groovy",,Cloudera Preparing for NiFi 2 Upgrade (2025)
InvokeScriptedProcessor (multi-language),InvokeScriptedProcessor (Groovy),changed,"Soporte multilenguaje eliminado, solo Groovy permitido","Reescribir scripts en Groovy","Ejemplo de InvokeScriptedProcessor en Groovy","Cloudera Preparing for NiFi 2 Upgrade (2025)"
FlowFile Variables,Parameter Contexts,removed,"Uso de variables locales en componentes eliminado","Usar Parameter Contexts para definir parámetros reutilizables","Ejemplo de ${var} migrado a #{param}","Cloudera Preparing for NiFi 2 Upgrade (2025)"
Variable Registry,Parameter Contexts,removed,"Variable Registry eliminado","Migrar entradas del registry a Parameter Contexts","Ejemplo de Variable Registry convertido a Parameter Context","Cloudera Preparing for NiFi 2 Upgrade (2025)"
Templates (XML),Process Groups (JSON),removed,"Formato de templates en XML (flow.xml.gz) eliminado","Usar Process Groups exportables en JSON (flow.json.gz)","Ejemplo template XML → JSON","Cloudera Preparing for NiFi 2 Upgrade (2025)"
Flow Configuration (flow.xml.gz),Flow Configuration (flow.json.gz),changed,"Archivo de configuración principal ahora en JSON","Revisar rutas y configuración de despliegue","Ejemplo de flow.json.gz en NiFi 2","Cloudera Preparing for NiFi 2 Upgrade (2025)"
Kerberos (Password/Keytab en procesadores),KerberosUserService,changed,"Se eliminaron las propiedades Kerberos Principal/Password/Keytab de procesadores como GetHDFS, PutHDFS, ListenSyslog, etc.","Configurar un KerberosUserService centralizado y referenciarlo en los procesadores","Ejemplo de GetHDFS enlazado a KerberosUserService","Cloudera Preparing for NiFi 2 Upgrade (2025)"
Repository Encryption,-,removed,"El cifrado de repositorios (Content/Provenance/FlowFile Repository) fue eliminado en NiFi 2.x.","Usar cifrado a nivel de disco (OS) o almacenamiento externo seguro","Ejemplo: habilitar LUKS o EBS Encryption en el entorno","Cloudera Preparing for NiFi 2 Upgrade (2025)"
SSL/TLS Properties (embebidas),StandardSSLContextService,changed,"Se eliminaron propiedades SSL directas en varios procesadores (keystore, truststore, passwords).","Configurar StandardSSLContextService y referenciarlo en los procesadores","Ejemplo de InvokeHTTP configurado con SSLContextService","Cloudera Preparing for NiFi 2 Upgrade (2025)"
Login Identity Providers (Kerberos Password/Keytab),KerberosUserService,removed,"Soporte de autenticación Kerberos mediante password/keytab en login-identity-providers.xml eliminado.","Configurar KerberosUserService para autenticación integrada","Ejemplo de login con KerberosUserService en NiFi 2","Cloudera Preparing for NiFi 2 Upgrade (2025)"
FlowFile Variables,Parameter Contexts,removed,"Las variables locales de FlowFile ya no son soportadas en NiFi 2.x.","Definir parámetros reutilizables en Parameter Contexts y referenciarlos con #{param}","Migración de ${var} → #{param}","Cloudera Preparing for NiFi 2 Upgrade (2025)"
Variable Registry,Parameter Contexts,removed,"El registro de variables (variable-registry.properties) fue eliminado.","Migrar todas las variables definidas en el registry a Parameter Contexts.","Ejemplo: variable-registry → Parameter Context de entorno","Cloudera Preparing for NiFi 2 Upgrade (2025)"
Templates (XML),Process Groups (JSON),removed,"Los templates en formato XML ya no son soportados.","Usar Process Groups exportables/importables en formato JSON.","Ejemplo: template.xml → process_group.json","Cloudera Preparing for NiFi 2 Upgrade (2025)"
Flow Configuration (flow.xml.gz),Flow Configuration (flow.json.gz),changed,"El archivo de configuración principal pasó de XML a JSON.","Migrar a flow.json.gz en la carpeta conf para desplegar el flujo.","Ejemplo: flow.xml.gz reemplazado por flow.json.gz","Cloudera Preparing for NiFi 2 Upgrade (2025)"
AvroSchemaRegistry,SchemaRegistry,removed,"Controlador AvroSchemaRegistry eliminado","Configurar SchemaRegistry unificado para esquemas Avro, JSON, Protobuf","Ejemplo: SchemaRegistry con múltiples formatos","Cloudera Preparing for NiFi 2 Upgrade (2025)"
ConfluentSchemaRegistry,SchemaRegistry,removed,"Controlador ConfluentSchemaRegistry eliminado","Usar SchemaRegistry unificado con soporte para Confluent (mediante URL de endpoint)","Ejemplo: migración de URL Confluent a SchemaRegistry","Cloudera Preparing for NiFi 2 Upgrade (2025)"
HortonworksSchemaRegistry,SchemaRegistry,removed,"Controlador HortonworksSchemaRegistry eliminado","Usar SchemaRegistry unificado apuntando al servicio de HDP/Cloudera","Ejemplo: migración de Hortonworks a SchemaRegistry","Cloudera Preparing for NiFi 2 Upgrade (2025)"
JsonSchemaRegistry,SchemaRegistry,removed,"Controlador JsonSchemaRegistry eliminado","Usar SchemaRegistry que soporta JSON Schema, Avro y otros formatos","Ejemplo de migración JsonSchemaRegistry → SchemaRegistry","Cloudera Preparing for NiFi 2 Upgrade (2025)"
Java 8/11/17,Java 21,removed,"Soporte para Java 8, 11 y 17 eliminado en NiFi 2.x","Actualizar el entorno a JDK 21 obligatoriamente","Ejemplo despliegue con OpenJDK 21","Cloudera Preparing for NiFi 2 Upgrade (2025)"
EventDrivenScheduling,-,removed,"Modo de scheduling Event Driven eliminado","Configurar en su lugar CRON o Timer Driven según necesidad","Ejemplo flujo con CRON en lugar de EventDriven","Cloudera Preparing for NiFi 2 Upgrade (2025)"
Repository Encryption,-,removed,"Cifrado de repositorios eliminado en NiFi 2.x","Usar cifrado a nivel de sistema de ficheros o disco (ej. LUKS, EBS encryption)","Ejemplo: repositorio protegido con cifrado del SO","Cloudera Preparing for NiFi 2 Upgrade (2025)"
flow.xml.gz,flow.json.gz,changed,"Archivo principal de flujo en XML reemplazado por JSON","Usar flow.json.gz como configuración de arranque en NiFi 2","Ejemplo: migración de flow.xml.gz a flow.json.gz","Cloudera Preparing for NiFi 2 Upgrade (2025)"
Variable Registry,Parameter Contexts,removed,"Variable Registry eliminado","Definir parámetros en Parameter Contexts","Ejemplo migración ${var} → #{param}","Cloudera Preparing for NiFi 2 Upgrade (2025)"
AttributesToCSV,AttributesToCSV,active,"No changes","No changes required.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-standard-nar/2.0.0-M3/org.apache.nifi.processors.standard.AttributesToCSV/"
AttributesToJSON,AttributesToJSON,active,"No changes","No changes required.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-standard-nar/2.0.0-M3/org.apache.nifi.processors.standard.AttributesToJSON/"
AttributeRollingWindow,AttributeRollingWindow,active,"No changes","No changes required.","N/A","https://nifi.apache.org/docs/nifi-1.28.0/components/org.apache.nifi/nifi-stateful-analysis-nar/1.28.0/org.apache.nifi.processors.stateful.analysis.AttributeRollingWindow/"
